2025-01-22 13:47:09.412 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs/project_log.log
2025-01-22 13:47:09.422 | INFO     | __main__:main:120 - START consumer.
2025-01-22 13:47:09.422 | INFO     | __main__:get_kafka_topic:46 - Kafka topic: buzzline_json
2025-01-22 13:47:09.422 | INFO     | __main__:get_kafka_consumer_group_id:53 - Kafka consumer group id: buzz_group
2025-01-22 13:47:09.423 | INFO     | __main__:main:125 - Consumer: Topic 'buzzline_json' and group 'buzz_group'...
2025-01-22 13:47:09.423 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-22 13:47:09.423 | INFO     | utils.utils_consumer:create_kafka_consumer:44 - Creating Kafka consumer. Topic='buzzline_json' and group ID='buzz_group'.
2025-01-22 13:47:09.548 | INFO     | utils.utils_consumer:create_kafka_consumer:59 - Kafka consumer created successfully.
2025-01-22 13:47:09.549 | INFO     | __main__:main:131 - Polling messages from topic 'buzzline_json'...
2025-01-22 13:47:10.055 | INFO     | __main__:process_message:85 - Processed JSON message: {"id": 1, "author": "David", "message": "This is custom message 1", "timestamp": "2025-01-22T16:59:38.325650", "priority": "normal"}
2025-01-22 13:47:10.055 | ERROR    | __main__:process_message:99 - Expected a dictionary but got: <class 'str'>
2025-01-22 13:47:10.057 | INFO     | __main__:process_message:85 - Processed JSON message: {"id": 2, "author": "David", "message": "This is custom message 2", "timestamp": "2025-01-22T16:59:40.330624", "priority": "high"}
2025-01-22 13:47:10.058 | ERROR    | __main__:process_message:99 - Expected a dictionary but got: <class 'str'>
2025-01-22 13:47:10.060 | INFO     | __main__:process_message:85 - Processed JSON message: {"id": 3, "author": "David", "message": "This is custom message 3", "timestamp": "2025-01-22T16:59:42.338470", "priority": "normal"}
2025-01-22 13:47:10.067 | ERROR    | __main__:process_message:99 - Expected a dictionary but got: <class 'str'>
2025-01-22 13:47:10.075 | INFO     | __main__:process_message:85 - Processed JSON message: {"id": 4, "author": "David", "message": "This is custom message 4", "timestamp": "2025-01-22T16:59:44.349483", "priority": "high"}
2025-01-22 13:47:10.075 | ERROR    | __main__:process_message:99 - Expected a dictionary but got: <class 'str'>
2025-01-22 13:47:10.079 | INFO     | __main__:process_message:85 - Processed JSON message: {"id": 5, "author": "David", "message": "This is custom message 5", "timestamp": "2025-01-22T16:59:46.353221", "priority": "normal"}
2025-01-22 13:47:10.080 | ERROR    | __main__:process_message:99 - Expected a dictionary but got: <class 'str'>
2025-01-22 13:47:10.084 | INFO     | __main__:process_message:85 - Processed JSON message: {"id": 6, "author": "David", "message": "This is custom message 6", "timestamp": "2025-01-22T16:59:48.358092", "priority": "high"}
2025-01-22 13:47:10.085 | ERROR    | __main__:process_message:99 - Expected a dictionary but got: <class 'str'>
2025-01-22 13:47:10.088 | INFO     | __main__:process_message:85 - Processed JSON message: {"id": 7, "author": "David", "message": "This is custom message 7", "timestamp": "2025-01-22T16:59:50.366450", "priority": "normal"}
2025-01-22 13:47:10.088 | ERROR    | __main__:process_message:99 - Expected a dictionary but got: <class 'str'>
2025-01-22 13:47:10.088 | INFO     | __main__:process_message:85 - Processed JSON message: {"id": 8, "author": "David", "message": "This is custom message 8", "timestamp": "2025-01-22T16:59:52.423164", "priority": "high"}
2025-01-22 13:47:10.106 | ERROR    | __main__:process_message:99 - Expected a dictionary but got: <class 'str'>
